148;2316828672.00;2316959743.00;AU
149;2318139392.00;2318204927.00;AU
150;2319908864.00;2319974399.00;AU
151;2320302080.00;2320367615.00;AU
152;2320433152.00;2320564223.00;AU
153;2323775488.00;2323841023.00;AU
154;2327969792.00;2328035327.00;AU
155;2329477120.00;2329542655.00;AU
156;2331770880.00;2331836415.00;AU
157;2334916608.00;2334982143.00;AU
158;2335899648.00;2335965183.00;AU
159;2337669120.00;2337734655.00;AU
160;2340552704.00;2340618239.00;AU
161;2340683776.00;2340749311.00;AU
162;2340814848.00;2340880383.00;AU
163;2342715392.00;2342780927.00;AU
164;2343043072.00;2343108607.00;AU
165;2344353792.00;2344419327.00;AU
166;2347106304.00;2347171839.00;AU
167;2353987584.00;2354053119.00;AU
168;2354249728.00;2354315263.00;AU
169;2359230464.00;2359295999.00;AU
170;2359820288.00;2359885823.00;AU
171;2365390848.00;2365456383.00;AU
172;2373451776.00;2373517311.00;AU
173;2374238208.00;2374303743.00;AU
174;2376597504.00;2376663039.00;AU
175;2381512704.00;2381578239.00;AU
176;2405171200.00;2405236735.00;AU
177;2406940672.00;2407006207.00;AU
178;2410545152.00;2410610687.00;AU
179;2411462656.00;2411593727.00;AU
180;2413297664.00;2413363199.00;AU
181;2413428736.00;2413494271.00;AU
182;2414739456.00;2414804991.00;AU
183;2416312320.00;2416377855.00;AU
184;2419392512.00;2419458047.00;AU
185;2419523584.00;2419589119.00;AU
186;2421096448.00;2421161983.00;AU
187;2422276096.00;2422341631.00;AU
188;2423128064.00;2423193599.00;AU
189;2424438784.00;2425159679.00;AU
190;2429353984.00;2429419519.00;AU
191;2430205952.00;2430271487.00;AU
192;2450194432.00;2450259967.00;AU
193;2453536768.00;2453602303.00;AU
194;2457075712.00;2457141247.00;AU
195;2457206784.00;2457272319.00;AU
196;2458910720.00;2458976255.00;AU
197;2461138944.00;2461204479.00;AU
198;2462253056.00;2462384127.00;AU
199;2463956992.00;2464022527.00;AU
200;2466906112.00;2466971647.00;AU
201;2468937728.00;2469003263.00;AU
202;2470576128.00;2470641663.00;AU
203;2470772736.00;2470838271.00;AU
204;2471231488.00;2471297023.00;AU
205;2473394176.00;2473459711.00;AU
206;2474901504.00;2474967039.00;AU
207;2479357952.00;2479423487.00;AU
208;2479947776.00;2480013311.00;AU
209;2480078848.00;2480209919.00;AU
210;2492530688.00;2492596223.00;AU
